Method,Category,Accuracy,AUC,Precision,Recall,F1,DPD,DPR,EOD,TPR_Diff,FPR_Diff,TradeoffScore,Dataset,Acc_Rank,DPD_Rank,Combined_Rank
Constrained (ε=0.1),In-processing,0.6825053995680346,,0.7202072538860104,0.494661921708185,0.5864978902953587,0.2489026075911536,0.4252393892339545,0.207143347381544,0.2793954683705468,0.1348912263925412,,COMPAS,14.0,10.0,24.0
Equalized Odds,Post-processing,0.6252699784017278,,0.586527293844367,0.5990510083036773,0.5927230046948356,0.0593432456664674,0.880244260997399,0.0984578879575691,0.0601997029212741,0.136716072993864,,COMPAS,23.0,2.0,25.0
ThreshOpt (w=0.3),Post-processing,0.6857451403887689,,0.7101449275362319,0.5231316725978647,0.6024590163934426,0.2560800209205021,0.4423405466970387,0.212884368056179,0.2866102374272039,0.1391584986851541,,COMPAS,6.0,15.5,21.5
ThreshOpt (w=0.5),Post-processing,0.6857451403887689,,0.7101449275362319,0.5231316725978647,0.6024590163934426,0.2560800209205021,0.4423405466970387,0.212884368056179,0.2866102374272039,0.1391584986851541,,COMPAS,6.0,15.5,21.5
ThreshOpt (w=0.7),Post-processing,0.6857451403887689,,0.7101449275362319,0.5231316725978647,0.6024590163934426,0.2560800209205021,0.4423405466970387,0.212884368056179,0.2866102374272039,0.1391584986851541,,COMPAS,6.0,15.5,21.5
Calibrated,Post-processing,0.6852051835853131,,0.7090032154340836,0.5231316725978647,0.6020477815699659,0.2571260460251046,0.4413352272727273,0.214007963561797,0.2866102374272039,0.1414056896963901,,COMPAS,9.0,18.0,27.0
Reject Option,Post-processing,0.6673866090712743,,0.6765163297045101,0.5160142348754448,0.585464333781965,0.0326135684399283,0.9101482091395636,0.0453117888644438,0.0313877820479569,0.0592357956809307,,COMPAS,18.0,1.0,19.0
Baseline,Baseline,0.9012705349194788,,0.7097560975609756,0.209051724137931,0.3229744728079911,0.0016409648942261,0.9520728853226345,0.038924686366668,0.0723584710457325,0.0054909016876035,,Bank Marketing,4.0,9.0,13.0
Reweighing,Pre-processing,0.9003803512179331,,0.6885245901639344,0.2112068965517241,0.3232545354590434,0.0057949470415354,0.8417106246462777,0.0456736603831726,0.0908592528440179,0.0004880679223273,,Bank Marketing,11.0,15.0,26.0
DIR (r=0.5),Pre-processing,0.9005422028000324,,0.6982968369829684,0.2061781609195402,0.3183582917359955,0.0008083197320791,0.9760726436064951,0.0374227821068,0.0704557041410778,0.0043898600725223,,Bank Marketing,9.5,5.0,14.5
DIR (r=1.0),Pre-processing,0.900623128591082,,0.7019704433497537,0.2047413793103448,0.3170189098998888,0.0024961039246477,0.927579925206082,0.0353319583707433,0.0650503102661954,0.0056136064752912,,Bank Marketing,8.0,12.0,20.0
LabelFlip (targeted),Pre-processing,0.8952011005907583,,0.5799011532125206,0.2528735632183908,0.352176088044022,0.0485198176130766,0.2684422206391321,0.1459099246034502,0.265431716905828,0.0263881323010724,,Bank Marketing,15.0,23.0,38.0
LabelFlip (equalize),Pre-processing,0.9002994254268836,,0.7040816326530612,0.1982758620689655,0.3094170403587444,0.0070649348181499,0.7935900362287032,0.0470097182894744,0.0926894927590333,0.0013299438199155,,Bank Marketing,12.0,16.0,28.0
Sampling (oversample),Pre-processing,0.8126567937201586,,0.3316307916818679,0.6530172413793104,0.4398741834018873,0.0195266809330067,0.9167026395642623,0.018489996708324,0.026346495559855,0.010633497856793,,Bank Marketing,22.0,20.0,42.0
Sampling (undersample),Pre-processing,0.8100671684065712,,0.3290368779090583,0.6602011494252874,0.4391875746714456,0.0207870816283591,0.9131856962689786,0.0159549361280964,0.0207107218355301,0.0111991504206628,,Bank Marketing,23.0,21.0,44.0
Sampling (hybrid),Pre-processing,0.8206684470340697,,0.3426279602750191,0.6443965517241379,0.4473815461346633,0.0190343914647388,0.915081803455172,0.0250605478943836,0.0384542365361109,0.0116668592526563,,Bank Marketing,21.0,19.0,40.0
FairReg (λ=0.1),In-processing,0.8873512988589464,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bank Marketing,18.0,2.0,20.0
FairReg (λ=0.5),In-processing,0.8873512988589464,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bank Marketing,18.0,2.0,20.0
FairReg (λ=1.0),In-processing,0.8873512988589464,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bank Marketing,18.0,2.0,20.0
FairReg (λ=2.0),In-processing,0.8874322246499959,,1.0,0.0007183908045977,0.0014357501794687,0.0001253761283851,0.0,0.0006090133982947,0.0012180267965895,0.0,,Bank Marketing,16.0,4.0,20.0
Adversarial (w=0.5),In-processing,0.9013514607105284,,0.6798336798336798,0.2349137931034483,0.3491724506139882,0.0015801227009034,0.9604427568419546,0.0381444225015926,0.071667331497405,0.0046215135057803,,Bank Marketing,1.0,6.0,7.0
Adversarial (w=1.0),In-processing,0.9007849801731812,,0.6554307116104869,0.2514367816091954,0.363447559709242,0.0087269340548465,0.8213425322697063,0.0359835675142873,0.0610805241568204,0.0108866108717542,,Bank Marketing,7.0,17.0,24.0
Constrained (ε=0.05),In-processing,0.8982762806506434,,0.6610978520286396,0.1989942528735632,0.3059083379348426,0.0026343868400453,0.9260176362420596,0.029997919932081,0.0553060958934791,0.0046897439706829,,Bank Marketing,13.5,13.5,27.0
